************* START OF RANDOM TEST FOR smithy card *************

Test#0 Expected 6 handcount, found 5 handcount
Test#1 Expected 12 handcount, found 11 handcount
Test#2 Expected 3 handcount, found 2 handcount
Test#3 Expected 3 handcount, found 2 handcount
Test#4 Expected 96 handcount, found 95 handcount
Test#5 Expected 8 handcount, found 7 handcount
Test#6 Expected 5 handcount, found 4 handcount
Test#7 Expected 5 handcount, found 4 handcount
Test#8 Expected 12 handcount, found 11 handcount
Test#9 Expected 3 handcount, found 2 handcount
Test#10 Expected 469 handcount, found 468 handcount
Test#11 Expected 9 handcount, found 8 handcount
Test#12 Expected 404 handcount, found 403 handcount
Test#13 Expected 279 handcount, found 278 handcount
Test#14 Expected 182 handcount, found 181 handcount
Test#15 Expected 10 handcount, found 9 handcount
Test#16 Expected 230 handcount, found 229 handcount
Test#17 Expected 11 handcount, found 10 handcount
Test#18 Expected 11 handcount, found 10 handcount
Test#19 Expected 6 handcount, found 5 handcount
Test#20 Expected 12 handcount, found 11 handcount
Test#21 Expected 4 handcount, found 3 handcount
Test#22 Expected 8 handcount, found 7 handcount
Test#23 Expected 7 handcount, found 6 handcount
Test#24 Expected 3 handcount, found 2 handcount
Test#25 Expected 341 handcount, found 340 handcount
Test#26 Expected 56 handcount, found 55 handcount
Test#27 Expected 12 handcount, found 11 handcount
Test#28 Expected 329 handcount, found 328 handcount
Test#29 Expected 12 handcount, found 11 handcount
Test#30 Expected 10 handcount, found 9 handcount
Test#31 Expected 175 handcount, found 174 handcount
Test#32 Expected 5 handcount, found 4 handcount
Test#33 Expected 183 handcount, found 182 handcount
Test#34 Expected 290 handcount, found 289 handcount
Test#35 Expected 11 handcount, found 10 handcount
Test#36 Expected 34 handcount, found 33 handcount
Test#37 Expected 10 handcount, found 9 handcount
Test#38 Expected 9 handcount, found 8 handcount
Test#39 Expected 6 handcount, found 5 handcount
Test#40 Expected 8 handcount, found 7 handcount
Test#41 Expected 6 handcount, found 5 handcount
Test#42 Expected 3 handcount, found 2 handcount
Test#43 Expected 384 handcount, found 383 handcount
Test#44 Expected 4 handcount, found 3 handcount
Test#45 Expected 277 handcount, found 276 handcount
Test#46 Expected 6 handcount, found 5 handcount
Test#47 Expected 11 handcount, found 10 handcount
Test#48 Expected 9 handcount, found 8 handcount
Test#49 Expected 342 handcount, found 341 handcount
Test#50 Expected 406 handcount, found 405 handcount
Test#51 Expected 6 handcount, found 5 handcount
Test#52 Expected 5 handcount, found 4 handcount
Test#53 Expected 274 handcount, found 273 handcount
Test#54 Expected 5 handcount, found 4 handcount
Test#55 Expected 9 handcount, found 8 handcount
Test#56 Expected 6 handcount, found 5 handcount
Test#57 Expected 5 handcount, found 4 handcount
Test#58 Expected 273 handcount, found 272 handcount
Test#59 Expected 444 handcount, found 443 handcount
Test#60 Expected 198 handcount, found 197 handcount
Test#61 Expected 116 handcount, found 115 handcount
Test#62 Expected 11 handcount, found 10 handcount
Test#63 Expected 307 handcount, found 306 handcount
Test#64 Expected 4 handcount, found 3 handcount
Test#65 Expected 231 handcount, found 230 handcount
Test#66 Expected 261 handcount, found 260 handcount
Test#67 Expected 10 handcount, found 9 handcount
Test#68 Expected 6 handcount, found 5 handcount
Test#69 Expected 7 handcount, found 6 handcount
Test#70 Expected 7 handcount, found 6 handcount
Test#71 Expected 8 handcount, found 7 handcount
Test#72 Expected 5 handcount, found 4 handcount
Test#73 Expected 4 handcount, found 3 handcount
Test#74 Expected 424 handcount, found 423 handcount
Test#75 Expected 12 handcount, found 11 handcount
Test#76 Expected 10 handcount, found 9 handcount
Test#77 Expected 8 handcount, found 7 handcount
Test#78 Expected 12 handcount, found 11 handcount
Test#79 Expected 9 handcount, found 8 handcount
Test#80 Expected 8 handcount, found 7 handcount
Test#81 Expected 487 handcount, found 486 handcount
Test#82 Expected 5 handcount, found 4 handcount
Test#83 Expected 8 handcount, found 7 handcount
Test#84 Expected 6 handcount, found 5 handcount
Test#85 Expected 250 handcount, found 249 handcount
Test#86 Expected 295 handcount, found 294 handcount
Test#87 Expected 8 handcount, found 7 handcount
Test#88 Expected 8 handcount, found 7 handcount
Test#89 Expected 6 handcount, found 5 handcount
Test#90 Expected 12 handcount, found 11 handcount
Test#91 Expected 170 handcount, found 169 handcount
Test#92 Expected 4 handcount, found 3 handcount
Test#93 Expected 3 handcount, found 2 handcount
Test#94 Expected 377 handcount, found 376 handcount
Test#95 Expected 10 handcount, found 9 handcount
Test#96 Expected 5 handcount, found 4 handcount
Test#97 Expected 307 handcount, found 306 handcount
Test#98 Expected 3 handcount, found 2 handcount
Test#99 Expected 8 handcount, found 7 handcount
Test#100 Expected 4 handcount, found 3 handcount
Test#101 Expected 9 handcount, found 8 handcount
Test#102 Expected 125 handcount, found 124 handcount
Test#103 Expected 3 handcount, found 2 handcount
Test#104 Expected 8 handcount, found 7 handcount
Test#105 Expected 407 handcount, found 406 handcount
Test#106 Expected 8 handcount, found 7 handcount
Test#107 Expected 12 handcount, found 11 handcount
Test#108 Expected 10 handcount, found 9 handcount
Test#109 Expected 159 handcount, found 158 handcount
Test#110 Expected 50 handcount, found 49 handcount
Test#111 Expected 4 handcount, found 3 handcount
Test#112 Expected 26 handcount, found 25 handcount
Test#113 Expected 8 handcount, found 7 handcount
Test#114 Expected 11 handcount, found 10 handcount
Test#115 Expected 105 handcount, found 104 handcount
Test#116 Expected 282 handcount, found 281 handcount
Test#117 Expected 12 handcount, found 11 handcount
Test#118 Expected 7 handcount, found 6 handcount
Test#119 Expected 11 handcount, found 10 handcount
Test#120 Expected 6 handcount, found 5 handcount
Test#121 Expected 10 handcount, found 9 handcount
Test#122 Expected 9 handcount, found 8 handcount
Test#123 Expected 7 handcount, found 6 handcount
Test#124 Expected 5 handcount, found 4 handcount
Test#125 Expected 421 handcount, found 420 handcount
Test#126 Expected 198 handcount, found 197 handcount
Test#127 Expected 322 handcount, found 321 handcount
Test#128 Expected 147 handcount, found 146 handcount
Test#129 Expected 114 handcount, found 113 handcount
Test#130 Expected 4 handcount, found 3 handcount
Test#131 Expected 6 handcount, found 5 handcount
Test#132 Expected 11 handcount, found 10 handcount
Test#133 Expected 10 handcount, found 9 handcount
Test#134 Expected 497 handcount, found 496 handcount
Test#135 Expected 6 handcount, found 5 handcount
Test#136 Expected 302 handcount, found 301 handcount
Test#137 Expected 10 handcount, found 9 handcount
Test#138 Expected 449 handcount, found 448 handcount
Test#139 Expected 11 handcount, found 10 handcount
Test#140 Expected 4 handcount, found 3 handcount
Test#141 Expected 7 handcount, found 6 handcount
Test#142 Expected 4 handcount, found 3 handcount
Test#143 Expected 5 handcount, found 4 handcount
Test#144 Expected 100 handcount, found 99 handcount
Test#145 Expected 11 handcount, found 10 handcount
Test#146 Expected 9 handcount, found 8 handcount
Test#147 Expected 3 handcount, found 2 handcount
Test#148 Expected 11 handcount, found 10 handcount
Test#149 Expected 12 handcount, found 11 handcount
Test#150 Expected 5 handcount, found 4 handcount
Test#151 Expected 72 handcount, found 71 handcount
Test#152 Expected 8 handcount, found 7 handcount
Test#153 Expected 5 handcount, found 4 handcount
Test#154 Expected 390 handcount, found 389 handcount
Test#155 Expected 7 handcount, found 6 handcount
Test#156 Expected 4 handcount, found 3 handcount
Test#157 Expected 6 handcount, found 5 handcount
Test#158 Expected 11 handcount, found 10 handcount
Test#159 Expected 200 handcount, found 199 handcount
Test#160 Expected 217 handcount, found 216 handcount
Test#161 Expected 96 handcount, found 95 handcount
