************* START OF RANDOM TEST FOR council room card *************

Test#0: Expected 18 deckCount, found 17 deckCount for input: handCount: 0, deckCount: 21, discardCount: 27, buys: 1
Test#1: Expected 409 deckCount, found 408 deckCount for input: handCount: 9, deckCount: 412, discardCount: 78, buys: 1
Test#2: Expected 206 deckCount, found 205 deckCount for input: handCount: 8, deckCount: 209, discardCount: 268, buys: 1
Test#3: Expected 46 deckCount, found 45 deckCount for input: handCount: 11, deckCount: 49, discardCount: 20, buys: 1
Test#4: Expected 168 deckCount, found 167 deckCount for input: handCount: 3, deckCount: 171, discardCount: 102, buys: 1
Test#5: Expected 439 deckCount, found 438 deckCount for input: handCount: 6, deckCount: 442, discardCount: 48, buys: 1
Test#6: Expected 17 deckCount, found 16 deckCount for input: handCount: 3, deckCount: 0, discardCount: 20, buys: 1
Test#7: Expected 2 deckCount, found 1 deckCount for input: handCount: 5, deckCount: 5, discardCount: 11, buys: 1
Test#8: Expected 28 deckCount, found 27 deckCount for input: handCount: 1, deckCount: 31, discardCount: 45, buys: 1
Test#9: Expected 43 deckCount, found 42 deckCount for input: handCount: 401, deckCount: 46, discardCount: 0, buys: 1
Test#10: Expected 11 deckCount, found 10 deckCount for input: handCount: 404, deckCount: 14, discardCount: 48, buys: 1
Test#11: Expected 104 deckCount, found 103 deckCount for input: handCount: 9, deckCount: 107, discardCount: 165, buys: 1
Test#12: Expected 25 deckCount, found 24 deckCount for input: handCount: 4, deckCount: 28, discardCount: 9, buys: 1
Test#13: Expected 40 deckCount, found 39 deckCount for input: handCount: 7, deckCount: 43, discardCount: 43, buys: 1
Test#14: Expected 254 deckCount, found 253 deckCount for input: handCount: 10, deckCount: 257, discardCount: 117, buys: 1
Test#15: Expected 16 deckCount, found 15 deckCount for input: handCount: 13, deckCount: 19, discardCount: 5, buys: 1
Test#16: Expected 54 deckCount, found 53 deckCount for input: handCount: 10, deckCount: 57, discardCount: 122, buys: 1
Test#17: Expected 41 deckCount, found 40 deckCount for input: handCount: 8, deckCount: 44, discardCount: 32, buys: 1
Test#18: Expected 35 deckCount, found 34 deckCount for input: handCount: 6, deckCount: 38, discardCount: 0, buys: 1
Test#19: Expected 7 deckCount, found 6 deckCount for input: handCount: 3, deckCount: 10, discardCount: 37, buys: 1
Test#20: Expected 389 deckCount, found 388 deckCount for input: handCount: 6, deckCount: 392, discardCount: 10, buys: 1
Test#21: Expected 77 deckCount, found 76 deckCount for input: handCount: 253, deckCount: 80, discardCount: 32, buys: 1
Test#22: Expected 17 deckCount, found 16 deckCount for input: handCount: 256, deckCount: 20, discardCount: 14, buys: 1
Test#23: Expected 18 deckCount, found 17 deckCount for input: handCount: 10, deckCount: 21, discardCount: 25, buys: 1
Test#24: Expected 11 deckCount, found 10 deckCount for input: handCount: 78, deckCount: 14, discardCount: 38, buys: 1
Test#25: Expected 33 deckCount, found 32 deckCount for input: handCount: 10, deckCount: 36, discardCount: 14, buys: 1
Test#26: Expected 39 deckCount, found 38 deckCount for input: handCount: 10, deckCount: 0, discardCount: 42, buys: 1
Test#27: Expected 10 deckCount, found 9 deckCount for input: handCount: 10, deckCount: 13, discardCount: 13, buys: 1
Test#28: Expected 168 deckCount, found 167 deckCount for input: handCount: 13, deckCount: 171, discardCount: 227, buys: 1
Test#29: Expected 2 deckCount, found 1 deckCount for input: handCount: 352, deckCount: 5, discardCount: 15, buys: 1
Test#30: Expected 43 deckCount, found 42 deckCount for input: handCount: 355, deckCount: 46, discardCount: 27, buys: 1
Test#31: Expected 39 deckCount, found 38 deckCount for input: handCount: 358, deckCount: 42, discardCount: 25, buys: 1
Test#32: Expected 3 deckCount, found 2 deckCount for input: handCount: 6, deckCount: 6, discardCount: 25, buys: 1
Test#33: Expected 26 deckCount, found 25 deckCount for input: handCount: 8, deckCount: 29, discardCount: 2, buys: 1
Test#34: Expected 441 deckCount, found 440 deckCount for input: handCount: 11, deckCount: 444, discardCount: 32, buys: 1
Test#35: Expected 39 deckCount, found 38 deckCount for input: handCount: 14, deckCount: 42, discardCount: 2, buys: 1
Test#36: Expected 6 deckCount, found 5 deckCount for input: handCount: 17, deckCount: 9, discardCount: 25, buys: 1
Test#37: Expected 18 deckCount, found 17 deckCount for input: handCount: 20, deckCount: 21, discardCount: 7, buys: 1
Test#38: Expected 19 deckCount, found 18 deckCount for input: handCount: 2, deckCount: 22, discardCount: 23, buys: 1
Test#39: Expected 9 deckCount, found 8 deckCount for input: handCount: 5, deckCount: 12, discardCount: 6, buys: 1
